purchase_id,fiscal_year,org_code,organization,project_name,season,production_category,banner_account_code,request_type,is_credit_card,requisition_number,reference_number,po_number,invoice_number,vendor_name,title,procurement_status,budget_status,estimated_amount,requested_amount,encumbered_amount,pending_cc_amount,posted_amount,ordered_on,received_on,paid_on,notes,reporting_budget_code,reporting_line
7766879a-1bd6-44ca-be45-8fcc2d223c55,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,requisition,FALSE,R0018357,R0018357,EP017819,null,WB Mason Company,WB Mason Company - R0018357,paid,posted,227.02,0,0,0,227.02,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11305",11305,Costumes
df764597-6125-4883-bd78-d10819b5e630,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,requisition,FALSE,R0018827,R0018827,EP018271,null,Best Cleaners,Best Cleaners - R0018827,paid,posted,400,0,0,0,400,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11305",11305,Costumes
040fecc6-fabb-4359-aef7-7c576b4d4c0f,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,expense,TRUE,null,null,null,null,null,Costume Supplies,statement_paid,pending_cc,300,0,0,286.3,0,null,null,null,null,11305,Costumes
df9cfda8-1eb5-46ea-94d4-ad8034fe8406,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,expense,TRUE,null,null,null,null,null,Costume Supplies for Fall Production,statement_paid,pending_cc,350,0,0,323.08,0,null,null,null,null,11305,Costumes
5a777d1a-702b-4405-a827-3aabacd5509f,FY26,2AC230,Theatre Department,Rumors,Fall 2025,null,11308,requisition,FALSE,R0018189,R0018189,EP017655,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0018189",paid,posted,120,0,0,0,120,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11308",11308,Miscellaneous
333d3dc7-6d36-408b-a3de-0b999178c83b,FY26,2AC230,Theatre Department,Rumors,Fall 2025,null,11308,expense,TRUE,null,null,null,null,null,Waves,statement_paid,pending_cc,250,0,0,226.84,0,null,null,null,null,11308,Miscellaneous
1f3d09b4-70b0-4d22-96e7-469a5ad54f23,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Rights,11309,requisition,FALSE,R0012787,R0012787,EP012471,null,Concord Theatricals Corp,Concord Theatricals Corp - R0012787,paid,posted,910,0,0,0,910,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=13220",11309,Rights
28fe5a66-ed84-41c0-8aea-093e2690890e,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Rights,11309,requisition,FALSE,R0012788,R0012788,EP012472,null,Concord Theatricals Corp,Concord Theatricals Corp - R0012788,paid,posted,133.55,133.55,0,0,133.55,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=13220",11309,Rights
a0a98af4-cc97-443b-ba66-876df25dfe89,FY26,2AC230,Theatre Department,Rumors,Fall 2025,null,11412,expense,TRUE,null,null,null,null,null,KCACTF Respondent Meal,statement_paid,pending_cc,125,0,0,113,0,null,null,null,null,11412,Meals with Guests
088a8def-20fa-476a-81fc-1fd177dc8ea1,FY26,2AC230,Theatre Department,Dolly West's Kitchen,Spring 2026,Scenic,11300,requisition,FALSE,R0019576,R0019576,null,null,Curtis Lumber,Curtis Lumber - R0019576,requested,requested,828.68,828.68,0,0,0,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11300",11300,Scenic
