requisition_number,unimarket_order_numbers,unimarket_order_value_total,unimarket_acctpart4_codes,banner_doc_codes,banner_total,difference_banner_minus_unimarket,banner_acct_codes,supabase_banner_account_codes,supabase_production_categories,match_status,review_reason
R0019534,EP018975,103.81,11308,,0.00,-103.81,,11308,Miscellaneous,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0019576,EP019053,828.68,11300,,0.00,-828.68,,11300,Scenic,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
R0019653,EP019071,1200.00,11089,,0.00,-1200.00,,11308,null,review,no_banner_doc_match_from_order_number;amount_mismatch_over_0.01;multiple_or_missing_banner_acct_codes
,,0.00,,00825890,124.32,124.32,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,F0077302,8.64,8.64,63104,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,F0078250,60.71,60.71,63104,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,F0078503,5988.10,5988.10,63104,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,F0078679,637.33,637.33,63104,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0530150,1015.00,1015.00,13220,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0530363,875.00,875.00,13220,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0533433,226.37,226.37,11303,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0533439,1153.59,1153.59,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0534110,324.85,324.85,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0534446,248.64,248.64,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0534688,79.00,79.00,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0534689,49.98,49.98,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0534990,43.40,43.40,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0535060,95.50,95.50,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0535218,157.64,157.64,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0535325,30.56,30.56,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0535334,41.13,41.13,11304,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0535578,545.21,545.21,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0535590,653.46,653.46,11302,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0535679,284.50,284.50,11021;11301,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536004,59.99,59.99,11302,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536005,96.07,96.07,11301,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536008,28.96,28.96,11302,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536033,7.00,7.00,11021,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536067,112.00,112.00,11220,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536143,148.89,148.89,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536146,33.96,33.96,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536160,28.99,28.99,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536376,347.33,347.33,11302,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536379,1499.98,1499.98,11302,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536400,39.29,39.29,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536401,141.02,141.02,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536435,3.99,3.99,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536468,20.56,20.56,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536474,9.99,9.99,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536476,70.31,70.31,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536481,120.00,120.00,11308,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536491,102.25,102.25,11304,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536507,69.99,69.99,11304,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536679,749.99,749.99,11302,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536719,69.99,69.99,11304,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536733,150.00,150.00,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0536996,112.48,112.48,11302,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0537088,83.46,83.46,11302,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,I0537095,39.99,39.99,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,J0177446,133.55,133.55,13220,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,J0179555,894.40,894.40,11075;13220,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,X000188,113.00,113.00,11412,,,review,banner_doc_not_linked_to_unimarket_ordernumber
,,0.00,,X000237,140.88,140.88,11300,,,review,banner_doc_not_linked_to_unimarket_ordernumber
