FISCAL_YEAR,ORGN_CODE,FUND_CODE,ACCT_CODE,ACCOUNT_NAME,PROG_CODE,FIELD_DES,TRANS_AMT,DR_CR_IND,RUCL_CODE,DOC_CODE,TRANS_DATE,ACTIVITY_DATE,TRANS_DESC,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,40.49,+,INEI,I0536476,12/9/25 12:37,12/10/25 13:24,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,39.29,+,INEI,I0536400,12/9/25 8:58,12/10/25 13:40,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,114.2,+,INEI,I0536401,12/9/25 8:59,12/10/25 13:41,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,26.82,+,INEI,I0536401,12/9/25 8:59,12/10/25 13:41,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,150,+,INEI,I0536733,12/16/25 14:04,12/17/25 12:53,Conway Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,39.99,+,INEI,I0537095,1/6/26 13:06,1/7/26 23:25,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,140.88,+,JE16,X000237,1/19/26 23:59,1/21/26 12:15,EX001435,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11220,Lodging,A0,YTD,112,+,INEI,I0536067,12/1/25 15:34,12/3/25 14:52,Hotel Trilogy,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11075,Miscellaneous Supplies,A0,YTD,194.4,+,JE16,J0179555,10/6/25 13:40,10/6/25 14:09,Theatre Dept. AMEX-Sep. '25,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11021,Shipping,A0,YTD,18.5,+,INEI,I0535679,11/14/25 15:36,11/16/25 13:05,BMI Supply,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11021,Shipping,A0,YTD,7,+,INEI,I0536033,12/1/25 13:22,12/3/25 13:11,The Costumer,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
